subject,time_index,vowel,F1,F2
1,1,o,1078,2608
1,2,o,516,892
1,3,o,350,915
1,4,o,443,801
1,5,o,454,801
1,6,o,461,917
1,7,o,486,943
2,1,a,1167,2268
2,2,a,785,1277
2,3,a,983,2422
2,4,a,704,1228
2,5,a,604,1085
2,6,a,557,1264
2,7,a,428,1180
3,1,i,1061,2220
3,2,i,284,2600
3,3,i,360,2513
3,4,i,283,2404
3,5,i,302,2901
3,6,i,317,2475
3,7,i,212,2269
4,1,u,406,2104
4,2,u,296,672
4,3,u,288,673
4,4,u,290,772
4,5,u,301,753
4,6,u,338,798
4,7,u,343,852
5,1,e,495,2516
5,2,e,508,2689
5,3,e,490,2407
5,4,e,550,2400
5,5,e,469,2294
5,6,e,490,2272
5,7,e,395,2342
6,1,?,378,2233
6,2,?,353,1663
6,3,?,317,1640
6,4,?,299,1585
6,5,?,310,1501
6,6,?,303,1417
6,7,?,293,1482
7,1,?,957,1327
7,2,?,600,870
7,3,?,518,1528
7,4,?,569,1386
7,5,?,545,1436
7,6,?,499,1653
7,7,?,558,1794
