Speaker,vowel,context,F1,F2,F3
1,o,0.04,532,822,3254
2,o,0.144,503,779,2712
3,o,0.249,464,792,2568
4,o,0.354,472,816,2683
5,o,0.458,491,845,2932
6,o,0.563,508,855,2972
7,o,0.667,307,768,2544
1,a,1.566,911,1193,2875
2,a,1.672,806,1184,2932
3,a,1.779,808,1205,2880
4,a,1.885,759,1205,2893
5,a,1.992,719,1114,2810
6,a,2.098,668,1220,2541
7,a,2.205,554,1157,2447
1,i,3.081,541,2344,3403
2,i,3.198,254,2598,3549
3,i,3.316,257,2563,3608
4,i,3.434,264,2396,3409
5,i,3.552,269,2213,3109
6,i,3.669,290,2269,3183
7,i,3.787,252,2017,2779
1,u,4.608,372,2132,3307
2,u,4.731,304,911,2220
3,u,4.853,284,666,2232
4,u,4.976,291,700,2275
5,u,5.098,291,686,2321
6,u,5.221,301,723,2208
7,u,5.343,724,2512,3709
1,e,6.117,412,2570,3101
2,e,6.24,442,2480,3025
3,e,6.362,447,2446,3042
4,e,6.485,435,2413,2964
5,e,6.607,459,2346,3180
6,e,6.73,451,2303,3280
7,e,6.852,321,2361,2753
1,?,7.594,301,1613,2246
2,?,7.726,282,1596,2304
3,?,7.858,287,1579,2246
4,?,7.989,302,1571,2227
5,?,8.121,307,1438,2219
6,?,8.253,312,1552,2272
7,?,8.385,282,1569,2420
1,?,8.962,572,1649,2416
2,?,9.091,552,1575,2363
3,?,9.22,547,1577,2333
4,?,9.349,538,1616,2323
5,?,9.478,513,1612,2298
6,?,9.607,525,1685,3006
7,?,9.736,258,1687,2463
